window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
2970.0,3000.0,0,2,0,0,3,0,0,3,0,0,1,1,0,2,"SPEAKER_02, SPEAKER_05"
2985.0,3015.0,0,0,0,0,3,0,0,1,0,0,1,1,0,1,"SPEAKER_02, SPEAKER_05"
3000.0,3030.0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,SPEAKER_02
3015.0,3045.0,0,3,0,0,1,0,0,2,1,0,0,1,0,1,"SPEAKER_02, SPEAKER_05"
3030.0,3060.0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,"SPEAKER_02, SPEAKER_05"
3045.0,3075.0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_05"
3060.0,3090.0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_04"
3075.0,3105.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
3090.0,3120.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_06"
3105.0,3135.0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,"SPEAKER_02, SPEAKER_06"
3120.0,3150.0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_02"
3135.0,3165.0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_05"
3150.0,3180.0,0,1,0,0,4,0,0,1,0,0,1,0,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_05"
3165.0,3195.0,2,1,0,0,2,0,0,6,0,0,2,0,0,2,"SPEAKER_02, SPEAKER_05"
3180.0,3210.0,3,4,0,0,1,0,0,9,0,0,1,0,0,5,SPEAKER_02
3195.0,3225.0,1,4,0,0,1,0,0,4,0,0,0,0,0,4,SPEAKER_02
3210.0,3240.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
3225.0,3255.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_01
3240.0,3270.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_01
3255.0,3285.0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_06"
3270.0,3300.0,0,4,0,0,1,0,0,2,0,0,0,1,0,1,"SPEAKER_02, SPEAKER_06"
3285.0,3315.0,0,4,0,0,1,0,0,1,0,0,1,2,0,0,"SPEAKER_02, SPEAKER_05"
3300.0,3330.0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,"SPEAKER_02, SPEAKER_04, SPEAKER_05"
3315.0,3345.0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_04, SPEAKER_05"
